Name,Xpath,Simplified,
Probability of failure (%),properties/electrical/dielectricbreakdownstrength/weibullplot,Probability of Failure,
AC Dielectric Strength,properties/electrical/dielectricbreakdownstrength/weibullplot,Breakdown Strength,
thickness,properties/electrical/dielectricbreakdownstrength/weibullplot,Thickness,
72.35636624,properties/electrical/dielectricbreakdownstrength/weibullplot,,
Viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
temperature,properties/rheological/rheologicalviscosity/dynamicviscosity,Temperature,
Frequency,properties/rheological/rheologicalviscosity/dynamicviscosity,Frequency,
dynamic shear viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Temperature,properties/rheological/rheologicalviscosity/dynamicviscosity,Temperature,
Dynamic Viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Complex viscocity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Time,properties/rheological/rheologicalviscosity/dynamicviscosity,Time,
complex viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Complex viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Angular frequency,properties/rheological/rheologicalviscosity/dynamicviscosity,Angular Frequency,
Angular Velocity,properties/rheological/rheologicalviscosity/dynamicviscosity,Angular Velocity,
frequency,properties/rheological/rheologicalviscosity/dynamicviscosity,Frequency,
Complex Viscosity,properties/rheological/rheologicalviscosity/dynamicviscosity,Viscosity,
Shear rate,properties/rheological/rheologicalviscosity/dynamicviscosity,Shear,
Damping Factor,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Tan Delta,
Frequency,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Frequency,
Tan delta,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Tan Delta,
frequency,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Frequency,
Tangent Delta,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Tan Delta,
tan?,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Tan Delta,
"Oscillation frequency, ?",properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Angular Frequency,
Angular Frequency,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent,Angular Frequency,
Mass Loss Rate,properties/volumetric/weightloss,Mass,
MassLossRate,properties/volumetric/weightloss,Mass,
Weight loss (%),properties/volumetric/weightloss,Weight Loss,
weight loss (%),properties/volumetric/weightloss,Weight Loss,
Mass (%),properties/volumetric/weightloss,Mass,
Sample Mass,properties/volumetric/weightloss,Mass,
Temperature,properties/volumetric/weightloss,Temperature,
Weight (%),properties/volumetric/weightloss,Weight Loss,
1000/T,properties/electrical/currentdensity,1000/T,
time,properties/electrical/currentdensity,Time,
ion mobility,properties/electrical/currentdensity,,
temperature,properties/electrical/currentdensity,Temperature,
Current density,properties/electrical/currentdensity,Current Density,
p/p0,properties/electrical/currentdensity,,
current,properties/electrical/currentdensity,Current,
Electric field,properties/electrical/currentdensity,Electric Field,
Current,properties/electrical/currentdensity,Current,
Normal Position,properties/electrical/currentdensity,,
Normalized Position,properties/electrical/currentdensity,,
Time,properties/electrical/currentdensity,Time,
J,properties/electrical/currentdensity,,
U,properties/electrical/currentdensity,,
Charge Density,properties/electrical/currentdensity,Charge Density,
E,properties/electrical/currentdensity,,
Current Density,properties/electrical/currentdensity,Current Density,
,properties/electrical/currentdensity,,
Frequency,properties/rheological/meltviscosity,Frequency,
log of specific shear energy,properties/volumetric/density,Shear Energy,
Surface area of filler phase,properties/volumetric/density,Surface Area,
Average Number of Particles per Cell,properties/volumetric/density,,
surface area of filler phase,properties/volumetric/density,Surface Area,
Influence of interfacial energetics and processing conditions,properties/volumetric/density,,
Influence of interfacial energetics and processing conditions,properties/volumetric/density,,
Phase Angle,properties/rheological/meltviscosity,Phase Angle,
work of adhesion between filler and polymer to the work of adhesion of filler to filler,properties/volumetric/density,,
Concentration of Silica (wt%),properties/volumetric/density,Concentration,
Complex Viscosity,properties/rheological/meltviscosity,Viscosity,
Complex Modulus,properties/rheological/meltviscosity,,
electric field,properties/electrical/energydensity,Electric Field,
peak next to the anode,properties/electrical/energydensity,,
E,properties/electrical/energydensity,Electric Field,
Electric field,properties/electrical/energydensity,Electric Field,
energy storage density,properties/electrical/energydensity,,
Time to Failure,properties/electrical/energydensity,Time,
time,properties/electrical/energydensity,Time,
Energy Density,properties/electrical/energydensity,Energy Density,
Temperature,properties/electrical/energydensity,Temperature,
Frequency,properties/electrical/energydensity,Frequency,
Discharged energy density,properties/electrical/energydensity,Energy Density,
Electric Field,properties/electrical/energydensity,Electric Field,
Field Intensity at Electrode,properties/electrical/energydensity,,
energy density,properties/electrical/energydensity,Energy Density,
Absorbance,characterization/dielectric_and_impedance_spectroscopy_analysis,Absorbance,
fmax,characterization/dielectric_and_impedance_spectroscopy_analysis,,
Dielectric Constant,characterization/dielectric_and_impedance_spectroscopy_analysis,Dielectric Constant,
Fequency,characterization/dielectric_and_impedance_spectroscopy_analysis,Frequency,
Wavelength,characterization/dielectric_and_impedance_spectroscopy_analysis,Wavelength,
Dielectric constant,characterization/dielectric_and_impedance_spectroscopy_analysis,Dielectric Constant,
1000/T,characterization/dielectric_and_impedance_spectroscopy_analysis,1000/T,
Frequency,characterization/dielectric_and_impedance_spectroscopy_analysis,Frequency,
weight fraction of alumina ( log % ),properties/thermal/glasstransitiontemperature,,
Cp,properties/thermal/glasstransitiontemperature,,
silica content (wt %),properties/thermal/glasstransitiontemperature,,
Delt,properties/thermal/glasstransitiontemperature,,
the change in glass-transition temperature,properties/thermal/glasstransitiontemperature,Temperature,
Change in Glass Transition Temperature,properties/thermal/glasstransitiontemperature,Temperature,
Glass transition temperatur,properties/thermal/glasstransitiontemperature,Temperature,
Temperature,properties/thermal/glasstransitiontemperature,Temperature,
CNF conten,properties/thermal/glasstransitiontemperature,,
Tg,properties/thermal/glasstransitiontemperature,,
adhesion energy,properties/thermal/glasstransitiontemperature,Energy,
Diamine Fraction,properties/thermal/glasstransitiontemperature,,
glass transition temperature,properties/thermal/glasstransitiontemperature,Temperature,
Concentration of Silica (wt%),properties/thermal/glasstransitiontemperature,Concentration,
Heat flow,properties/thermal/dsc_profile,Heat Flow,
Heat Flow,properties/thermal/dsc_profile,Heat Flow,
Temperature,properties/thermal/dsc_profile,Temperature,
Log E,properties/electrical/dielectricbreakdownstrength/weibullparameter,,
DC Breakdown Voltage,properties/electrical/dielectricbreakdownstrength/weibullparameter,Voltage,
Log,properties/electrical/dielectricbreakdownstrength/weibullparameter,,
Breakdown Strength,properties/electrical/dielectricbreakdownstrength/weibullparameter,,
Weibull Parameter,properties/electrical/dielectricbreakdownstrength/weibullparameter,,
Probability of Failure (%),properties/electrical/dielectricbreakdownstrength/weibullparameter,,
AC Breakdown Voltage,properties/electrical/dielectricbreakdownstrength/weibullparameter,Voltage,
Breakdown Voltage,properties/electrical/dielectricbreakdownstrength/weibullparameter,Breakdown Voltage,
real part of the dielectric constant,properties/electrical/dc_dielectricconstant,Dielectric Real Permittivity,
Real part of dielectric constant,properties/electrical/dc_dielectricconstant,Dielectric Real Permittivity,
real part dielectric constant,properties/electrical/dc_dielectricconstant,Dielectric Real Permittivity,
Frequency,properties/electrical/dc_dielectricconstant,Frequency,
Imaginary part of dielectric constant,properties/electrical/dc_dielectricconstant,Dielectric Loss Permittivity,
Log f,properties/electrical/dc_dielectricconstant,Frequency,
frequency,properties/electrical/dc_dielectricconstant,Frequency,
Dielectric Constant,properties/electrical/dc_dielectricconstant,Tan Delta,
AC Breakdown Strenght,properties/electrical/dielectricbreakdownstrength/profile,,
Lo,properties/electrical/dielectricbreakdownstrength/profile,,
Log E,properties/electrical/dielectricbreakdownstrength/profile,,
"Normalized Elastic Modulus, E/Eneat",properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Elastic Modulus,
Normalized Elastic Modulus E/Eneat,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Elastic Modulus,
Frequency,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Frequency,
Probability of Failure,properties/electrical/dielectricbreakdownstrength/profile,,
Probability,properties/electrical/dielectricbreakdownstrength/profile,,
thickness,properties/electrical/dielectricbreakdownstrength/profile,,
log,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,,
DC Breakdown Voltage,properties/electrical/dielectricbreakdownstrength/profile,Voltage,
breakdown strength,properties/electrical/dielectricbreakdownstrength/profile,,
"Storage Modulus, E'",properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Storage Modulus,
AC Breakdown Voltage,properties/electrical/dielectricbreakdownstrength/profile,Voltage,
T,characterization/thermogravimetric_analysis,Time,
Time,characterization/thermogravimetric_analysis,Time,
Temperature,characterization/thermogravimetric_analysis,Temperature,
strength,properties/electrical/dielectricbreakdownstrength/profile,,
Normalized mass remaining,characterization/thermogravimetric_analysis,Mass,
prob failure,properties/electrical/dielectricbreakdownstrength/profile,,
Concentration of Silica (wt%),properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Concentration,
Normalized Loss Modulus,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Loss Modulus,
Normalized Storage Modulus,properties/viscoelastic/dynamicproperties/dma_mode/frequencysweep/condition/temperature,Storage Modulus,
Breakdown Strength,properties/electrical/dielectricbreakdownstrength/profile,,
Probability of Failure (%),properties/electrical/dielectricbreakdownstrength/profile,,
electric modulus,properties/electrical/impedance,,
Diamine fraction,properties/thermal/specificheatcapacity_cp,,
frequency,properties/electrical/impedance,Frequency,
Reversible specific heat capacity,properties/thermal/specificheatcapacity_cp,Heat Capacity,
delta,properties/thermal/specificheatcapacity_cp,,
unidirectional modulu,properties/mechanical/tensile/tensilemodulus,,
log t/a,properties/thermal/specificheatcapacity_cp,,
Time,properties/mechanical/tensile/tensilemodulus,Time,
CNF conten,properties/mechanical/tensile/tensilemodulus,,
Storage Modulus,properties/mechanical/tensile/tensilemodulus,Storage Modulus,
quasi-isotropic modulus modulu,properties/mechanical/tensile/tensilemodulus,,
Frequency,properties/electrical/impedance,Frequecy,
Log,properties/mechanical/tensile/tensilemodulus,,
Young's Modulus,properties/mechanical/tensile/tensilemodulus,Young's Modulus,
Reduced Modulus,properties/mechanical/tensile/tensilemodulus,Reduced Modulus,
Relative density,properties/mechanical/tensile/tensilemodulus,Density,
Modulus,properties/mechanical/tensile/tensilemodulus,,
quasi-isotropic modulu,properties/mechanical/tensile/tensilemodulus,,
Water Content (wt%),properties/mechanical/tensile/tensilemodulus,,
Temperature,properties/thermal/specificheatcapacity_cp,Temperature,
T,properties/thermal/specificheatcapacity_cp,Temperature,
Real Impedance,properties/electrical/impedance,,
Volume % Silica,properties/mechanical/tensile/tensilemodulus,,
Cp,properties/thermal/specificheatcapacity_cp,,
electrical volume resistivity,properties/electrical/volumeresistivity,,
MWCNT content ( wt %),properties/electrical/volumeresistivity,,
19.64551973,properties/volumetric/waterabsorption,,
normalized tan delta,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Tan Delta,
Normalized Loss Modulus,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Loss Modulus,
0.011097134,properties/volumetric/waterabsorption,,
"Storage Modulus, E'",properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Storage Modulus,
Water Uptake (%),properties/volumetric/waterabsorption,,
Normalized Storage Modulus,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Storage Modulus,
Time,properties/volumetric/waterabsorption,Time,
Ta,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,,
Temperatur,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Temperature,
Storage Modulu,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Storage Modulus,
0.105896797,properties/volumetric/waterabsorption,,
287.8112756,properties/volumetric/waterabsorption,,
log,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,,
temperature,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Temperature,
Frequency,properties/viscoelastic/dynamicproperties/dma_mode/temperaturesweep/condition/frequency,Frequency,
Resisitivity,properties/electrical/surfaceresistivity,,
Temperature,properties/electrical/surfaceresistivity,Temperature,
E,properties/electrical/surfaceresistivity,,
Resistivity,properties/electrical/surfaceresistivity,,
Silica Loading (mass %),properties/mechanical/tensile/tensilestressatyield,,
Heat release Rate,properties/thermal/thermaldiffusivity,Heat Release,
Heat Release Rate,properties/thermal/thermaldiffusivity,Heat Release,
Stress,properties/mechanical/tensile/tensilestressatyield,,
fatigue crack growth rate,properties/mechanical/tensile/tensilestressatyield,,
ln q1,properties/thermal/thermaldiffusivity,,
Yield Stress,properties/mechanical/tensile/tensilestressatyield,,
Elongation,properties/mechanical/tensile/tensilestressatyield,,
Temperature,properties/thermal/thermaldiffusivity,Temperature,
1000/Tf,properties/thermal/thermaldiffusivity,1000/T,
applied stress intensity range,properties/mechanical/tensile/tensilestressatyield,,
time,properties/viscoelastic/creep/tensile/tensilecreepstrain,Time,
intensity ratio,characterization/raman_spectroscopy,,
Frequenc,characterization/rheometery,Frequency,
alpha,characterization/raman_spectroscopy,,
Viscoelasticity,characterization/rheometery,,
strain (%),properties/viscoelastic/creep/tensile/tensilecreepstrain,Strain,
short beam strengt,properties/mechanical/tensile/fibertensilestrength,,
strain rate,properties/viscoelastic/creep/tensile/tensilecreepstrain,Strain,
Water content (wt%),properties/mechanical/tensile/fibertensilestrength,,
H-Bond Density,properties/mechanical/tensile/fibertensilestrength,,
Frequency,characterization/rheometery,Frequency,
Viscoelasticit,characterization/rheometery,Viscoelasticity,
tensile strengt,properties/mechanical/tensile/fibertensilestrength,Tensile Strength,
CNF conten,properties/mechanical/tensile/fibertensilestrength,,
Storage Modulus,characterization/dynamic_mechanical_analysis,Storage Modulus,
Frequency,characterization/dynamic_mechanical_analysis,Frequency,
Temperature,properties/mechanical/tensile/elongationatbreak,Temperature,
Critical strain (%),properties/mechanical/tensile/elongationatbreak,Strain,
Static Stress,characterization/dynamic_mechanical_analysis,Stress,
Static Strain (%),characterization/dynamic_mechanical_analysis,Strain,
lo,properties/electrical/electricpercolationthreshold,,
Viscosity,properties/rheological/dynamicviscosity,Viscosity,
Absorbance,characterization/fourier_transform_infrared_spectroscopy,Absorbance,
Temperature,properties/rheological/dynamicviscosity,Temperature,
log sig,properties/electrical/electricpercolationthreshold,,
Wavenumber,characterization/fourier_transform_infrared_spectroscopy,,
Nanoparticle size,materials/filler/fillercomponent/sphericalparticlediameter,,
Frequency,materials/filler/fillercomponent/sphericalparticlediameter,Frequency,
Temperature,properties/thermal/thermalconductivity,Temperature,
Thermal conductivity,properties/thermal/thermalconductivity,,
Heat Flow,characterization/differential_scanning_calorimetry,Heat Flow,
Time,characterization/differential_scanning_calorimetry,Time,
shear modulus,properties/mechanical/shear/shearmodulus,,
lint,properties/volumetric/interphasethickness,,
strain (%),properties/mechanical/shear/shearmodulus,Strain,
stress,properties/mechanical/tensile/stressrelaxation,Stress,
time,properties/mechanical/tensile/stressrelaxation,Time,
Diamine fraction,characterization/differential_scanning_calorimetry,,
shear modulus G increase (%),properties/mechanical/shear/shearmodulus,,
1000/T,properties/volumetric/interphasethickness,1000/T,
CRR length scale,characterization/differential_scanning_calorimetry,,
crystallinity weight fraction,properties/mechanical/shear/shearmodulus,,
Cumulative Percentage (%),properties/volumetric/linearexpansioncoefficient,,
deltaHa,properties/thermal/specificheatcapacity_cv,,
T,properties/thermal/specificheatcapacity_cv,T,
Tube Diameter,properties/volumetric/linearexpansioncoefficient,Diameter,
Temperature,characterization/differential_scanning_calorimetry/heatingrate,Temperature,
Graft Density,materials/filler/fillercomponent/particlesurfacetreatment/graftdensity,Density,
Free Space Length,materials/filler/fillercomponent/particlesurfacetreatment/graftdensity,Length,
CNF conten,properties/mechanical/compression/compressionstressatyield,,
Collapse Strength,properties/mechanical/compression/compressionmodulus,,
CNF conten,properties/mechanical/fracturetoughness/essentialworkoffracture/strainrate,,
Time,processing/solutionprocessing/chooseparameter/mixing/temperature,Time,
Intensity,characterization/xray_photoelectron_spectroscopy,,
strain to failure(%),properties/mechanical/fracturetoughness/essentialworkoffracture/strainrate,Strain,
Sample,materials/filler/fillercomponent/particlesurfacetreatment/graftdensity,,
stress via extension slop,properties/mechanical/compression/compressionstressatyield,Stress,
Relative Density,properties/mechanical/compression/compressionmodulus,Density,
Temperature,processing/solutionprocessing/chooseparameter/mixing/temperature,Temperature,
Binding Energy,characterization/xray_photoelectron_spectroscopy,Energy,
Heat Flow,characterization/differential_scanning_calorimetry/heatingrate,Heat Flow,
Silica Loading (mass %),properties/mechanical/tensile/fibertensilemodulus,Mass,
Molecular weight,materials/filler/fillercomponent/particlesurfacetreatment/molecularweight,Weight,
Elastic Modulus,properties/mechanical/tensile/fibertensilemodulus,,
Sample,materials/filler/fillercomponent/particlesurfacetreatment/molecularweight,,
Silica Loading (mass %),properties/mechanical/tensile/conditions/strainrate,,
Failure Strain (%),properties/mechanical/tensile/conditions/strainrate,Strain,
