Units,Simplified,Name,Header,Confidence,Path,File
celsius,celsius,temperature,temperature (Celsius),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E101_S1_Last Name of the experimental person_2017.xml
(dimensionless),(dimensionless),tan delta,tan delta,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E101_S1_Last Name of the experimental person_2017.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S10_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S10_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S10_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S10_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S1_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S1_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S1_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S1_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
s/cm,s/cm,Electric conductivity,Electric conductivity (S/cm),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S2_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
pa,pa,Storage modulus,Storage modulus (Pa),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
pa,pa,Loss modulus,Loss modulus (Pa),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
s/cm,s/cm,Conductivity,Conductivity (S/cm),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S3_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
pa,pa,Storage modulus,Storage modulus (Pa),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
pa,pa,Loss modulus,Loss modulus (Pa),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
s/cm,s/cm,Conductivity,Conductivity (S/cm),1,PROPERTIES/Electrical/ElectricConductivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S4_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
(dimensionless),(dimensionless),Storage modulus,Storage modulus,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
(dimensionless),(dimensionless),Loss modulus,Loss modulus,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,/Users/jafac/xmlALL\xmlFULL\E108_S5_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S6_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S6_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S6_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S6_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S7_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S7_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S7_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S7_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S8_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S8_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S8_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S8_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S9_Huang_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S9_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S9_Huang_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E108_S9_Huang_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S10_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S2_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S3_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S4_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S5_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S6_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S7_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S8_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E115_S9_Bell_2016.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
(dimensionless),(dimensionless),Tan delta,Tan delta,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E116_S10_Prasad_2018.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S13_Prasad_2018.xml
(dimensionless),(dimensionless),Real permittivity,Real permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S13_Prasad_2018.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S13_Prasad_2018.xml
(dimensionless),(dimensionless),Imaginary permittivity,Imaginary permittivity,0,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,/Users/jafac/xmlALL\xmlFULL\E116_S13_Prasad_2018.xml
hz,hz,Frequency,Frequency (Hz),1,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,/Users/jafac/xmlALL\xmlFULL\E116_S13_Prasad_2018.xml
