file,xPath,xRaw_header,xName,stdXName
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
