file,xPath,occurrence,xRaw_header,xName,stdXName,xUnit,stdXUnit,xUnitType,yRaw_header,yName,stdYName,yUnit,stdYUnit,yUnitType
L119_S1_Jin_2001.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,19,Temperature (C ),Temperature,Temperature,celsius,,Temperature,Tan Delta,Tan Delta,Tan Delta,,,Tan Delta
L120_S10_Murugaraj_2005.xml,CHARACTERIZATION/Dielectric_and_Impedance_Spectroscopy_Analysis/data,6,Fequency (Hertz),Fequency,Frequency,Hertz,,Frequency,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L120_S10_Murugaraj_2005.xml,CHARACTERIZATION/Dielectric_and_Impedance_Spectroscopy_Analysis/data/data,6,Fequency (Hertz),Frequency,Frequency,Hertz,,Frequency,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L120_S1_Murugaraj_2005.xml,CHARACTERIZATION/Dynamic_Mechanical_Analysis/data,3,Static Strain (%),Static strain,,%,,,Static Stress (MPa),Static stress,,MPa,,
L120_S1_Murugaraj_2005.xml,CHARACTERIZATION/Dynamic_Mechanical_Analysis/data/data,3,Static Strain (%),Static strain,,%,,,Static Stress (MPa),Static stress,,MPa,,
L120_S1_Murugaraj_2005.xml,CHARACTERIZATION/Dielectric_and_Impedance_Spectroscopy_Analysis/data,5,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric Constant,Dielectric Constant,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L120_S1_Murugaraj_2005.xml,CHARACTERIZATION/Dielectric_and_Impedance_Spectroscopy_Analysis/data/data,5,Frequency (Hz),Frequency,Frequency,Hertz,,Frequency,Dielectric Constant,Dielectric constant,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L121_S1_Nelson_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,11,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Real Relative Permittivity,Real Relative Permittivity,Relative Dielectric Real Permittivity,dimensionless,,Relative Dielectric Real Permittivity
L121_S3_Nelson_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Relative Permittivity (imaginary),Relative permittivity (imaginary),,dimensionless,,
L121_S3_Nelson_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,21,Frequency (Hz),Frequency,,Hz,,,Loss Tangent,Loss Tangent,,dimensionless,,
L121_S3_Nelson_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Relative Permittivity,Relative Permittivity (imaginary),,dimensionless,,
L124_S1_Smith_2008.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,4,frequency (Hz),Frequency,,Hz,,,loss tangent,Loss Tangent,,dimensionless,,
L124_S1_Smith_2008.xml,PROPERTIES/Electrical/EnergyDensity/data,1,Field Intensity at Electrode (kV/mm Peak),Field intensity at electrode,,kV/mm Peak,,,Time to Failure (Minutes),Time to failure,,Minutes,,
L124_S4_Smith_2008.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,frequency (Hz),Frequency,,Hz,,,loss tanget,Loss Tangent,,dimensionless,,
L124_S6_Smith_2008.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,frequency (Hz),Frequency,,Hz,,,loss tangent,loss tangent,,dimensionless,,
L126_S1_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,6,frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L126_S1_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,3,Frequency (Hz),Frequency,,Hz,,,Effective dielectric loss,Effective dielectric loss,,dimensionless,,
L126_S1_Thomas_2009.xml,PROPERTIES/Volumetric/WeightLoss/data,5,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,weight loss (%),Weight loss,,%,,
L126_S2_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,frequency (Hz),Frequency,,Hz,,,Effective dielectric loss,Effective dielectric loss,,dimensionless,,
L126_S5_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,2,Frequency (Hz),Frequency,,Hz,,,Effective dielectric constant,Effective dielectric constant,,dimensionless,,
L126_S6_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,16,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Dielectric constant,Dielectric constant,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L126_S6_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,4,Frequency (Hz),Frequency,,Hz,,,dielectric loss,dielectric loss,,dimensionless,,
L126_S6_Thomas_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,Frequency (Hz),Frequency,,Hz,,,Dielectric loss,Dielectric loss,,dimensionless,,
L127_S1_Travelpiece_2009.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,5,Breakdown Voltage (kV/mm),Breakdown Voltage,,kV/mm,,,Probability of Failure (%),Probability of Failure,,%,,
L127_S1_Travelpiece_2009.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullPlot/data,5,Breakdown Voltage Peak (kV/mm),Breakdown Voltage Peak,,kV/mm,,,Probability of Failure (%),Probability of Failure,,%,,
L127_S2_Travelpiece_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,8,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Real Permittivity,"Real permittivity, ε’",,,,
L127_S2_Travelpiece_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,4,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Imaginary Permittivity,"Imaginary permittivity, ε’’",,,,
L127_S2_Travelpiece_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,4,Temperature (C),Temperature,Temperature,C,,Temperature,Real Permittivity,"Real permittivity, ε’",,,,
L127_S2_Travelpiece_2009.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,4,Temperature (C),Temperature,Temperature,C,,Temperature,Imaginary Permittivity,"Imaginary permittivity, ε’’",,,,
L128_S1_Wang_2010.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,5,f (Hz),Frequency,Frequency,Hz,,Frequency,Real Permittivity,Real Permittivity,Dielectric Real Permittivity,,,Dielectric Real Permittivity
L128_S1_Wang_2010.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,8,f (Hz),Frequency,Frequency,Hz,,Frequency,Imaginary Permittivity,Imaginary Permittivity,Dielectric Loss Permittivity,,,Dielectric Loss Permittivity
L128_S1_Wang_2010.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,1,f (Hz),,,,,,Imaginary Permittivity,,,,,
L128_S2_Wang_2010.xml,PROPERTIES/Electrical/SurfaceResistivity/data,1,E (kV/mm),Electric Field,,kV/mm,,,Resistivity (ohms - m),Resisitivity,,ohms-m,,
L128_S2_Wang_2010.xml,PROPERTIES/Electrical/SurfaceResistivity/data,4,E (kV/mm),Electric Field,,kV/mm,,,Resistivity (ohms - m),Resistivity,,ohms-m,,
L128_S2_Wang_2010.xml,PROPERTIES/Electrical/ElectricConductivity/data,1,1/T (K^-1),1/T,1/Temperature,K^-1,,1/Temperature,Conductivity,Conductivity,Conductivity,,,Conductivity
L128_S2_Wang_2010.xml,PROPERTIES/Electrical/CurrentDensity/data,5,E (kV/mm),Field,,kV/mm,,,J (A/m^2),Current Density,Current Density,A/m^2,,Current Density
L129_S10_Wu_2011.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,19,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Permittivity,Permittivity,Dielectric Loss Permittivity,,,Dielectric Loss Permittivity
L129_S12_Wu_2011.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,1,Frequency (Hz),Frequency,,Hz,,,Permittivity,Loss Tangent,,,,
L131_S1_Frechette_2014.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,4,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Real Part of the Complex Permittivity,Real Part of the Complex Permittivity,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L131_S1_Frechette_2014.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,4,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Imaginary Part of the Complex Permittivity,Imaginary Part of the Complex Permittivity,Dielectric Loss Permittivity,dimensionless,,Dielectric Loss Permittivity
L131_S1_Frechette_2014.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,2,Temperature (C),Temperature,Temperature,C,,Temperature,Dielectric Real Permittivity,Dielectric Real Permittivity,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
L131_S1_Frechette_2014.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,2,Temperature (C),Temperature,Temperature,C,,Temperature,Dielectric Loss,Dielectric Loss,Dielectric Loss Permittivity,dimensionless,,Dielectric Loss Permittivity
L131_S1_Frechette_2014.xml,PROPERTIES/Electrical/CurrentDensity/data,2,E(v/mm),E,,v/mm,,,J (A/mm^2),J,,A/mm^2,,
